con_date,c13,c9
2014-02-17 00:00:00,234118983.268,7.3636
2014-02-18 00:00:00,234323887.1323,7.2754
2014-02-19 00:00:00,234411505.0508,7.3788
2014-02-20 00:00:00,234512841.6194,7.3675
2014-02-21 00:00:00,234670033.7649,7.275
2014-02-24 00:00:00,234957127.1931,7.1151
2014-02-25 00:00:00,234904685.7628,6.9888
2014-02-26 00:00:00,235188654.1383,7.0026
2014-02-27 00:00:00,235244701.1862,7.0268
2014-02-28 00:00:00,235196551.4525,7.0632
2014-03-03 00:00:00,235196541.2573,7.0872
2014-03-04 00:00:00,235268928.399,7.0602
2014-03-05 00:00:00,235307643.2366,6.9907
2014-03-06 00:00:00,235428035.745,7.0167
2014-03-07 00:00:00,235540923.2734,7.0133
2014-03-10 00:00:00,235479311.8746,6.8326
2014-03-11 00:00:00,235574218.2748,6.8398
2014-03-12 00:00:00,236559480.5692,6.8031
2014-03-13 00:00:00,236494168.2849,6.8715
2014-03-14 00:00:00,236610960.0251,6.8205
2014-03-17 00:00:00,237004251.0585,6.8635
2014-03-18 00:00:00,237008957.1374,6.8578
2014-03-19 00:00:00,236651291.1118,6.8356
2014-03-20 00:00:00,236899549.3008,6.7489
2014-03-21 00:00:00,236786498.0644,6.9572
2014-03-24 00:00:00,236774328.0604,7.0096
2014-03-25 00:00:00,237110318.6694,6.9885
2014-03-26 00:00:00,236647408.7562,6.999
2014-03-27 00:00:00,236184328.7709,6.97
2014-03-28 00:00:00,236535554.6506,6.9734
2014-03-31 00:00:00,235891438.4451,6.9885
2014-04-01 00:00:00,234979820.4156,7.0518
2014-04-02 00:00:00,234885128.527,7.1014
2014-04-03 00:00:00,235076900.7063,7.0388
2014-04-04 00:00:00,235113965.2163,7.1104
2014-04-08 00:00:00,235433195.9304,7.2436
2014-04-09 00:00:00,235543119.0112,7.2516
2014-04-10 00:00:00,235734980.3111,7.362
2014-04-11 00:00:00,235733246.3612,7.3492
2014-04-14 00:00:00,236102421.3607,7.3314
2014-04-15 00:00:00,235984756.3716,7.2184
2014-04-16 00:00:00,235972814.3267,7.2315
2014-04-17 00:00:00,235698554.9877,7.2122
2014-04-18 00:00:00,235695196.3614,7.1998
2014-04-21 00:00:00,235679746.9582,7.0898
2014-04-22 00:00:00,235510277.2611,7.1324
2014-04-23 00:00:00,235369755.6308,7.1223
2014-04-24 00:00:00,235605627.2867,7.0924
2014-04-25 00:00:00,236146292.6688,7.0246
2014-04-28 00:00:00,236171154.3262,6.9495
2014-04-29 00:00:00,236378342.6902,7.0026
2014-04-30 00:00:00,236228120.5879,7.0043
2014-05-05 00:00:00,236284602.0733,6.9972
